Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,Education_Group,Income_Group,LOG_Credit_Limit,LOG_Avg_Open_To_Buy,LOG_Avg_Utilization_Ratio
59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,Low Education,Low Income,9.601368432286577,9.50383054471094,0.08892620919440151
63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,Unknown,Middle Income,9.231710397712375,9.127610724377186,0.09440067542148431
44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,Low Education,Unknown,9.220389707829185,9.220389707829185,0.0
47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,Low Education,Low Income,8.47345026846832,8.138564737261632,0.2507587183471831
53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,Unknown,Middle Income,7.9208096792886,6.849066282633458,0.5056120567131033
53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,Low Education,Middle Income,7.804659297056102,6.635946555686647,0.5247285289349821
41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,Medium Education,Middle Income,9.096499555552423,8.765146421639022,0.24842135849847827
53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,Medium Education,Low Income,7.8826922062890254,7.057036981697891,0.44596705141749426
58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,Medium Education,Middle Income,9.437953917961844,9.292841593487926,0.126632650933366
55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,Medium Education,Low Income,8.166500319155052,7.382124365737512,0.4343764516025845
55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,Medium Education,Low Income,8.01829613851552,6.6039438246004725,0.5636078092049601
42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,Low Education,Low Income,9.644328147017548,9.644328147017548,0.0
57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,Medium Education,Low Income,8.208764045819667,7.932721027481948,0.21591750622247016
66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,1,High Education,Unknown,8.972463821059907,8.892611378172106,0.07417939817425151
45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0,Medium Education,Middle Income,10.386746688084312,10.368761263333154,0.017839918128331
51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0,Unknown,Low Income,8.733271845008325,8.294549515143679,0.3038014543316642
50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,Medium Education,Low Income,9.758750756069444,9.601571320056523,0.13540463700620295
49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,Low Education,Middle Income,8.27052509505507,8.27052509505507,0.0
38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,Medium Education,Unknown,9.193295937366925,8.958797346140274,0.18979357163265562
49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0,Low Education,Middle Income,10.44920723527944,10.44920723527944,0.0
56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,High Education,Middle Income,7.7336835707759,6.74993119378857,0.48612301112561884
59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,High Education,Low Income,7.8434564043761155,6.270988431858299,0.5838901946229959
46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0,Low Education,Middle Income,9.876064966958156,9.79945948211208,0.07138999608667294
52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,Medium Education,Middle Income,8.465057436995709,8.165932137321585,0.2303177550622101
52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,Unknown,Low Income,7.872073979866873,6.97914527506881,0.4643627493556498
54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1,Medium Education,Low Income,7.271912163268625,6.44778118537358,0.44596705141749426
66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,Low Education,Low Income,8.06211758275474,6.900730664045173,0.5229518035638313
49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,Unknown,High Income,9.891617379965641,9.7553934942914,0.11955923505763925
56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,1,Medium Education,High Income,9.665864679957084,9.665864679957084,0.0
49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,Medium Education,Low Income,8.101374671228582,7.002155954403621,0.511025603768657
49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,Medium Education,Low Income,7.938445551164788,6.0867747269123065,0.6113946786876863
56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0,Low Education,Low Income,8.402679804627477,7.8551570058813445,0.35206433138104914
44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,Medium Education,Unknown,8.744169388750624,8.574707097616844,0.14496577025018573
42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,Low Education,Middle Income,8.112827478751374,7.367708572374371,0.42199441005937494
55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0,Unknown,Middle Income,8.142354276849835,7.259116128097101,0.461845441544272
48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,1,Medium Education,Middle Income,10.44920723527944,10.44920723527944,0.0
39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0,Low Education,Middle Income,8.687273461787838,8.450198322591959,0.19144646457095518
44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0,High Education,High Income,10.084057576291276,9.992230762370516,0.08434114843375087
53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0,Low Education,High Income,9.597980895171796,9.48044384215367,0.10526051065749295
51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0,Low Education,Middle Income,10.44920723527944,10.40432344467275,0.04305948946044697
57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0,Medium Education,Middle Income,8.792549614177382,8.469682208745185,0.24373018492259815
44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0,Low Education,Low Income,7.642524134232902,6.424869023905388,0.532978428407124
49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0,Medium Education,Middle Income,7.431299675155903,6.364750756851911,0.504405055963068
50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0,High Education,Middle Income,10.138599199626192,10.08460004537341,0.05164323315183845
51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0,Medium Education,High Income,10.44920723527944,10.396780371009813,0.04974209189481407
55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0,Medium Education,Low Income,7.7039102096163115,7.075808863978387,0.3832194991608447
54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0,Medium Education,Middle Income,7.976251943745623,6.78105762593618,0.5294510878891555
42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0,Low Education,Middle Income,10.03950335645357,9.970491781316602,0.06485097231961631
44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0,Medium Education,Middle Income,10.098766465702033,10.01596766362013,0.0760346862759976
53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0,Medium Education,Middle Income,8.57035473953047,8.231642179973411,0.2523139286139896
44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,Medium Education,Low Income,8.853808274977197,8.40827078419205,0.3074846997479606
37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0,Low Education,Low Income,8.85922139360813,8.563695025067657,0.22793206804600694
49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0,Medium Education,Middle Income,7.838737559599282,6.570882962339584,0.5417427264007122
47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0,Medium Education,Middle Income,10.271769869516577,10.203814342520987,0.0639133257436528
47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0,Medium Education,Middle Income,9.055789612127585,8.835355971121606,0.1806534996932576
44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0,Unknown,High Income,10.44920723527944,10.403777874386735,0.04305948946044697
55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,1,Unknown,Low Income,7.677400430514807,7.677400430514807,0.0
59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0,Medium Education,Unknown,9.223651386035854,9.073030421011577,0.1310282624064041
53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0,Medium Education,Middle Income,10.44920723527944,10.413252614104797,0.0344014267173324
52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0,Medium Education,Middle Income,8.034631032923107,7.069874128458572,0.4818086746954981
53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0,Low Education,High Income,9.85434982797458,9.740085880594684,0.10255658832509207
43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0,Low Education,Low Income,8.300776960851454,8.300776960851454,0.0
44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0,Low Education,Middle Income,9.45383541953829,9.385972940619341,0.0639133257436528
57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0,Unknown,High Income,8.569216219483389,8.569216219483389,0.0
51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0,Low Education,Low Income,9.203416456903359,9.203416456903359,0.0
49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0,Low Education,Middle Income,10.351469218580617,10.287047825256243,0.06015392281974709
45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0,Medium Education,Low Income,8.79133399330135,8.79133399330135,0.0
53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0,Medium Education,Middle Income,7.887959336599945,6.4425401664681985,0.5681506903852601
45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,0,Unknown,Unknown,7.8383433155571165,4.564348191467836,0.674473915294324
64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0,Medium Education,Low Income,7.444248649496705,6.703188113240863,0.42133845726445457
45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,0,Medium Education,Low Income,8.14757773620177,7.720905251936779,0.2978798974282269
53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0,High Education,Low Income,8.240121298076472,7.642044402873258,0.37156355643248307
56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,0,Medium Education,High Income,9.178849704884811,8.914626127827137,0.20863886511132804
47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,1,Unknown,Middle Income,8.60337088765729,8.248529124800218,0.2615947376884625
49,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,0,Medium Education,Unknown,10.044683249202905,9.955747879197213,0.08157998699242287
41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,0,Unknown,Unknown,10.44920723527944,10.387887062065596,0.0573250666192694
53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0,Medium Education,High Income,7.9865049385539955,7.424761761823209,0.3576744442718159
44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0,Medium Education,Low Income,8.016977746762262,7.050122520269059,0.4824261492442927
44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,0,Low Education,Middle Income,7.529943370601589,7.529943370601589,0.0
43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0,High Education,Low Income,9.031094081699155,8.913684824725294,0.10526051065749295
53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,0,High Education,High Income,10.44920723527944,10.421864592454954,0.02664193094642118
44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,0,Low Education,Middle Income,9.57851889529833,9.39357817555449,0.15614868248993136
62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,0,Unknown,Low Income,7.271912163268625,7.271912163268625,0.0
54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,0,Unknown,High Income,10.427979367065934,10.368227352106764,0.05638033343610764
57,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,1342,32,0.391,0.223,0,Medium Education,Middle Income,9.043931533642278,8.791941988456118,0.20130685670503531
42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,0,Unknown,Middle Income,9.62172128051365,9.562685957753686,0.055434706888100586
42,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,1251,35,0.346,0.513,0,Low Education,Middle Income,8.090708716083997,7.371489295214277,0.4140944348062189
54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473,0,Low Education,Low Income,7.3098814858247865,6.670766320845874,0.3873011374804932
48,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.791,1388,37,1.056,0.095,0,Medium Education,Middle Income,9.514289416891836,9.413934064045677,0.09075436326846414
49,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,1.826,1235,18,1.571,0.047,0,Medium Education,Middle Income,9.846229133695847,9.797682493639151,0.045928931888399804
52,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,0,Low Education,Middle Income,9.390743422947507,9.27837278236801,0.10074990310014305
50,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,1.873,1626,25,0.786,0.156,0,Low Education,Middle Income,9.206834232646894,9.036701015565063,0.14496577025018573
49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,22963.0,0.712,1111,24,1.0,0.05,0,High Education,Middle Income,10.092453652048752,10.041683051287528,0.04879016416943201
53,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,1553,38,1.0,0.355,0,Low Education,Low Income,8.587278798982926,8.149601735736155,0.3038014543316642
50,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,33493.0,1.004,1064,13,0.625,0.03,0,Medium Education,High Income,10.44920723527944,10.419121597294424,0.0295588022415444
55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.766,1243,29,0.611,0.615,0,High Education,Low Income,8.063062911326792,7.1098794630722715,0.47933495667461984
53,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,1659,38,1.533,0.15,0,Low Education,Middle Income,9.414341877762027,9.252153874789594,0.13976194237515868
47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,0,Low Education,Low Income,8.239857411018601,7.718240951959316,0.341459778132252
55,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,32989.0,0.526,1268,42,0.355,0.044,0,Medium Education,High Income,10.44920723527944,10.403959764222627,0.04305948946044697
47,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2926.0,0.676,1304,24,0.846,0.0,0,Medium Education,Middle Income,7.9817332866918855,7.9817332866918855,0.0
58,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,32090.0,0.567,1368,30,0.364,0.0,0,Medium Education,High Income,10.37633089597424,10.37633089597424,0.0
53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,720,23,0.353,0.191,1,Medium Education,Middle Income,9.364776725280601,9.15302900526307,0.17479329037316305
52,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,1521,29,1.417,0.096,0,Low Education,Low Income,9.512886426076506,9.411892497046916,0.0916671885258238
50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,0,Low Education,Low Income,9.383368881858544,9.190035618635818,0.16211884947643518
42,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83,0,Medium Education,Low Income,7.780720886117918,6.013715156042802,0.6043159668533296
43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,0,Unknown,Low Income,8.718009330846357,8.187299270155147,0.3450071390710503
57,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,1565,28,1.545,0.086,0,Medium Education,Middle Income,9.86635665419792,9.776165413960777,0.08250122151174369
52,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,1578,34,0.7,0.678,0,Medium Education,Middle Income,8.219056661060598,7.085064293952548,0.5176026080450145
47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,0.541,1493,32,1.0,0.246,0,High Education,Low Income,8.082093278178382,7.79934339821592,0.2199384203652614
